Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;B-Mag;V-Mag;J-Mag;H-Mag;K-Mag;SurfBr;Hubble;Pax;Pm-RA;Pm-Dec;RadVel;Redshift;Cstar U-Mag;Cstar B-Mag;Cstar V-Mag;M;NGC;IC;Cstar Names;Identifiers;Common names;NED notes;OpenNGC notes;Sources
NGC4372;GCl;12:25:45.38;-72:39:32.7;Mus;12.00;;;10.86;9.85;;;;;;0.1405;-6.380;3.330;76;0.000252;;;;;;;;C 108,MWSC 2029;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:5|B-Mag:2|V-Mag:2|Pax:2|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
NGC4449;G;12:28:11.10;+44:05:37.1;CVn;4.66;2.71;51;9.50;9.64;8.10;7.45;7.25;21.10;IB;;;;204;0.000680;;;;;;;;2MASX J12281111+4405368,C 021,MCG +07-26-009,PGC 040973,SDSS J122811.10+440537.0,UGC 07592;;One of two 6cm sources associated with [WB92] 1225+4417;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|V-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
NGC4559;G;12:35:57.65;+27:57:36.0;Com;10.57;4.82;148;10.28;9.92;8.41;7.83;7.58;23.48;Sc;;0.507;0.222;814;0.002719;;;;;;;;2MASX J12355768+2757351,C 036,IRAS 12334+2814,MCG +05-30-030,PGC 042002,SDSS J123557.64+275735.9,UGC 07766;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|V-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
NGC4565;G;12:36:20.78;+25:59:15.6;Com;16.75;2.89;135;10.05;10.86;7.16;6.31;6.06;23.75;Sb;;;;1258;0.004210;;;;;;;;2MASX J12362080+2559146,C 038,IRAS 12338+2615,MCG +04-30-006,PGC 042038,UGC 07772;Needle Galaxy;HOLM 426D is a star.;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|V-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
NGC4609;OCl;12:42:16.83;-62:59:44.7;Cru;5.40;;;7.32;6.90;;;;;;0.6600;-4.870;-1.045;22;0.000073;;;;;;;;C 098,MWSC 2062;Coalsack Cluster;;;Type:1|RA:1|Dec:1|Const:99|MajAx:5|B-Mag:2|V-Mag:2|Pax:2|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
NGC4631;G;12:42:08.01;+32:32:29.4;CVn;14.45;2.20;86;9.47;9.24;7.53;6.83;6.47;22.44;SBcd;;;;605;0.002021;;;;;;;;2MASX J12420800+3232294,C 032,IRAS 12396+3249,MCG +06-28-020,PGC 042637,UGC 07865;Whale Galaxy;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|V-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
NGC4697;G;12:48:35.88;-05:48:02.7;Vir;7.14;4.16;83;10.25;9.37;7.24;6.59;6.37;23.36;E;;;;1210;0.004044;;;;;;;;2MASX J12483590-0548030,C 052,MCG -01-33-010,PGC 043276,UGCA 300;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|V-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
NGC4755;OCl;12:53:37.08;-60:21:22.7;Cru;7.80;;;;;;;;;;0.4620;-4.647;-1.134;-20;-0.000067;;;;;;;;C 094,MWSC 2072;Herschel's Jewel Box,kappa Crucis Cluster;;;Type:1|RA:1|Dec:1|Const:99|MajAx:5|Pax:2|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
NGC4833;GCl;12:59:34.94;-70:52:28.5;Mus;8.40;;;8.72;7.79;;;;;;0.1231;-8.360;-0.970;202;0.000674;;;;;;;;C 105,MWSC 2077;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:5|B-Mag:2|V-Mag:2|Pax:2|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
NGC4889;G;13:00:08.13;+27:58:37.2;Com;2.59;1.68;80;12.49;11.45;9.40;8.71;8.41;23.39;E;;;;6376;0.021500;;;;;4884;;;2MASX J13000809+2758372,C 035,MCG +05-31-077,PGC 044715,SDSS J130008.12+275837.0,SDSS J130008.13+275836.9,SDSS J130008.13+275837.2,SDSS J130008.14+275837.2,UGC 08110;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|V-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
