Name,RA,Dec,V-Mag,Spectrum
HIP 3583,0.76265,-47.551985,5.8,G5IV
HIP 3604,0.769669,44.861497,6.03,B9.5IIIMNp.
HIP 3607,0.769929,-22.522097,5.49,G8/K0III
57    Psc,0.775822,15.475504,5.36,M4III
HIP 3641,0.777313,69.325408,6.39,F3V
HIP 3649,0.778462,59.574539,6.41,G0Ib
58    Psc,0.783738,11.973849,5.51,G8II
59    Psc,0.787118,19.578702,6.11,F0Vn
34Zet And,0.788981,24.267178,4.08,K1II
60    Psc,0.789898,6.740956,5.98,G8III
HIP 3717,0.795339,-18.061339,5.7,K3III
23    Cas,0.796119,74.847573,5.42,B8III
HIP 3741,0.800296,-21.722492,5.57,B9V
HIP 3750,0.802487,72.674482,5.86,K0IV
62    Psc,0.804836,7.299928,5.92,G8III
96 G. Psc,0.806382,5.280615,5.74,K2V
Lam Hyi,0.809777,-74.923438,5.09,K5III
63Del Psc,0.811373,7.585079,4.44,K5III
25Nu  Cas,0.813892,50.968168,4.9,B9III
HIP 3807,0.815758,-46.697648,6.28,G8III
64    Psc,0.816308,16.940644,5.07,F8V...
Achird,0.81826,57.815187,3.46,G0V SB
HIP 3834,0.82054,-24.136672,5.9,K0III
HIP 3849,0.823782,-13.561274,5.59,K3III
HIP 3858,0.825953,-23.362144,6.27,A3IV
35Nu  And,0.830234,41.078911,4.53,B5V SB
65    Psc,0.831433,27.710286,5.55,F5III+...
HIP 3903,0.834379,-43.394921,6.49,A9/F0III
19Phi2Cet,0.835443,-10.644326,5.17,F7IV-V
HIP 3919,0.838403,45.002258,6.13,A0p...
Rho Phe,0.844768,-50.986816,5.24,F2III
HIP 3951,0.845442,64.247549,5.35,A4V comp SB
HIP 3965,0.849263,51.508032,6.38,F2IV
HIP 3988,0.854551,61.805494,6.04,K5Ib
HIP 3992,0.85509,3.38502,6.39,K0III
HIP 4023,0.859386,51.571427,6.22,B9.5V
HIP 4104,0.877951,-24.005844,5.47,K1III
20    Cet,0.883471,-1.14426,4.78,M0III
HIP 4151,0.884511,61.12397,4.8,F8V
HIP 4164,0.886793,-24.776876,6.44,F3V
HIP 4185,0.891173,37.418209,6.07,K3III:
HIP 4200,0.893839,-62.871352,5.73,M4III
HIP 4212,0.896547,52.689293,6.27,A5m
21    Cet,0.904887,-8.740662,6.15,G5IV
66    Psc,0.909785,19.188417,5.8,A1Vn
HIP 4283,0.914667,83.707435,5.59,A4V
36    And,0.916139,23.628335,5.46,K1IV
26Ups1Cas,0.916715,58.972698,4.83,K2III
Lam2Tuc,0.916751,-69.527084,5.45,G7III
HIP 4298,0.918114,48.67852,6.28,M2.5IIIa
