Name,RA,Dec,V-Mag
HIP 570,0.115387,-30.608502,12.19
HIP 571,0.115487,-30.603072,10.24
HIP 572,0.115594,38.202539,8.83
HIP 573,0.115647,-43.985229,7.62
HIP 574,0.116532,-40.414021,8.96
HIP 575,0.116547,65.538714,10.41
HIP 576,0.116577,53.974853,8.97
HIP 577,0.116845,32.870098,9.61
HIP 578,0.117222,22.844452,8.29
HIP 579,0.117341,5.287996,8.3
HIP 580,0.11739,-18.820734,8.26
HIP 581,0.117816,6.875548,7.44
HIP 582,0.118189,62.392729,9.52
HIP 583,0.11837,85.40486,8.2
HIP 584,0.118781,-15.850159,8.68
HIP 585,0.118835,-30.561565,8.65
HIP 586,0.118896,-23.036249,10.52
HIP 587,0.11896,-37.929168,8.41
HIP 588,0.11898,14.823728,9.18
HIP 589,0.119186,72.775219,8.42
HIP 590,0.119495,34.853794,8.86
HIP 591,0.119727,46.756978,7.92
HIP 592,0.119833,65.653779,10.97
HIP 593,0.120161,6.204281,8.85
HIP 594,0.120194,-60.070832,9.31
HIP 595,0.120214,-22.027732,10.28
HIP 596,0.120371,-76.730929,7.56
HIP 597,0.120481,73.210297,7.88
HIP 598,0.120686,20.555714,7.99
HIP 599,0.120941,-41.889566,8.23
HIP 600,0.121286,-27.397838,8.52
HIP 601,0.121709,20.965066,9.14
HIP 602,0.121741,-17.38699,6.2
HIP 603,0.121774,7.703558,7.64
HIP 604,0.122069,1.665077,8.95
HIP 605,0.122792,-56.836907,7.48
HIP 606,0.122925,-25.356649,7.06
HIP 607,0.122932,26.450601,7.33
HIP 608,0.123023,-11.033396,8.98
HIP 609,0.12312,-11.612953,8.24
HIP 611,0.123716,-40.47956,8.53
HIP 610,0.123862,-77.494189,8.4
HIP 612,0.124472,-56.011483,7.48
HIP 613,0.124796,17.302737,8.46
HIP 614,0.125339,35.745739,9.29
HIP 615,0.125363,24.321207,8.57
HIP 616,0.125701,-23.818719,8.7
HIP 617,0.125771,32.008744,8.5
HIP 618,0.126312,-60.641821,8.37
HIP 619,0.126439,31.669001,6.87
HIP 621,0.126828,-62.315095,7.5
HIP 620,0.126886,-86.038759,7.39
HIP 624,0.127062,-45.119538,8.19
HIP 622,0.127059,52.772969,7.56
HIP 623,0.127071,53.526542,8.37
HIP 625,0.127138,40.078498,7.39
HIP 626,0.127202,40.147954,6.73
HIP 627,0.127532,-66.895387,8.66
HIP 628,0.127777,1.094204,8.25
HIP 629,0.127831,-7.921323,8.47
HIP 630,0.127908,39.034775,8.01
HIP 631,0.128037,-65.932427,6.83
HIP 632,0.128052,-56.249543,9.06
HIP 633,0.128508,-46.544714,8.79
HIP 634,0.12864,37.185443,7.44
HIP 635,0.12892,-2.548679,6.43
HIP 636,0.129693,-22.50856,5.93
HIP 637,0.129947,-5.485918,8.85
HIP 638,0.130034,21.745574,9.86
HIP 639,0.130111,-11.129061,8.55
HIP 640,0.130828,38.721732,7.66
HIP 641,0.13111,55.577041,7.82
HIP 642,0.131453,-4.854954,9.08
HIP 643,0.131859,-42.153958,10.1
HIP 644,0.131915,-51.257907,8.21
HIP 645,0.133121,-14.226944,8.85
HIP 647,0.133148,-78.210991,7.79
HIP 646,0.133152,-18.684727,7.58
HIP 649,0.133399,-7.544697,7.85
HIP 648,0.133431,-78.598759,7.18
HIP 650,0.133545,29.837513,7.54
HIP 651,0.133562,-39.612117,9.72
HIP 652,0.13381,31.391161,7.12
HIP 653,0.133861,-30.031682,9.77
HIP 654,0.133909,-45.382176,8.84
HIP 655,0.134303,-33.529326,5.67
HIP 656,0.134628,53.796246,8.15
HIP 657,0.134723,-29.41641,9.61
HIP 658,0.134941,4.927244,8.19
HIP 659,0.135998,31.378998,7.27
HIP 660,0.136113,71.159451,8.51
HIP 661,0.136595,-59.063073,8.36
HIP 663,0.136628,-38.281353,10.0
HIP 662,0.136659,-70.055825,8.74
HIP 664,0.136693,-2.447711,6.18
HIP 665,0.136989,-43.646862,10.26
HIP 666,0.137119,-49.721831,10.16
HIP 667,0.137128,29.732273,8.31
HIP 668,0.137408,42.223421,8.58
HIP 669,0.137879,-14.824492,7.04
HIP 670,0.138042,34.49525,8.81
HIP 671,0.138204,-8.824112,5.99
HIP 673,0.138515,-32.700965,8.22
HIP 674,0.1392,-42.943639,9.86
HIP 675,0.139486,3.440644,8.0
HIP 676,0.13964,21.924458,9.4
HIP 678,0.139757,-19.224152,9.1
21Alp And,0.139791,29.090432,2.07
HIP 679,0.140077,50.245332,8.11
HIP 680,0.140227,-57.195133,8.89
HIP 681,0.14037,-51.400744,9.43
