Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;B-Mag;V-Mag;J-Mag;H-Mag;K-Mag;SurfBr;Hubble;Pax;Pm-RA;Pm-Dec;RadVel;Redshift;Cstar U-Mag;Cstar B-Mag;Cstar V-Mag;M;NGC;IC;Cstar Names;Identifiers;Common names;NED notes;OpenNGC notes;Sources
NGC6611;Neb;18:18:48.17;-13:48:26.0;Se2;120.00;25.00;;6.58;6.00;;;;;;0.5660;0.178;-1.576;10;0.000033;;;;016;;;;LBN 67,MWSC 2886;Eagle Nebula;;;Type:1|RA:1|Dec:1|Const:99|MajAx:9|MinAx:9|B-Mag:2|V-Mag:2|Pax:2|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
NGC6613;OCl;18:19:58.49;-17:06:07.1;Sgr;6.00;;;7.24;6.90;;;;;;0.6400;-0.508;-0.917;-14;-0.000047;;;;018;;;;MWSC 2892;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:5|B-Mag:2|V-Mag:2|Pax:2|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
NGC6618;Neb;18:20:47.11;-16:10:17.5;Sgr;12.60;;;6.00;7.00;;;;;;0.6000;-0.040;-1.400;-45;-0.000149;;;;017;;;;LBN 60,MWSC 2896;Checkmark Nebula,Lobster Nebula,Swan Nebula,omega Nebula;;;Type:1|RA:1|Dec:1|Const:99|MajAx:9|B-Mag:3|V-Mag:10|Pax:2|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
NGC6626;GCl;18:24:32.89;-24:52:11.4;Sgr;5.10;;;;6.90;;;;;;0.1560;-0.330;-8.920;11;0.000037;;;;028;;;;MWSC 2908;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:5|V-Mag:3|Pax:2|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
NGC6637;GCl;18:31:23.23;-32:20:52.7;Sgr;5.70;;;9.32;8.31;;;;;;0.0855;-5.120;-5.810;47;0.000156;;;;069;6634;;;MWSC 2936;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:5|B-Mag:2|V-Mag:2|Pax:2|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
NGC6656;GCl;18:36:24.20;-23:54:12.3;Sgr;12.60;;;7.16;6.17;;;;;;0.2639;9.820;-5.540;-148;-0.000493;;;;022;;;;MWSC 2961;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:5|B-Mag:2|V-Mag:2|Pax:2|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
NGC6681;GCl;18:43:12.64;-32:17:30.8;Sgr;6.60;;;9.76;9.06;;;;;;0.1265;1.390;-4.720;217;0.000723;;;;070;;;;MWSC 2981;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:5|B-Mag:2|V-Mag:2|Pax:2|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
NGC6694;OCl;18:45:18.66;-09:23:01.0;Sct;6.00;;;8.00;8.87;;;;;;0.5240;0.144;-1.411;4;0.000013;;;;026;;;;MWSC 2987;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:5|B-Mag:2|V-Mag:2|Pax:2|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
NGC6705;OCl;18:51:05.99;-06:16:12.1;Sct;9.00;;;6.32;5.80;;;;;;0.4270;-1.568;-4.144;36;0.000119;;;;011;;;;MWSC 3008;Amas de l'Ecu de Sobieski,Wild Duck Cluster;;;Type:1|RA:1|Dec:1|Const:99|MajAx:5|B-Mag:2|V-Mag:2|Pax:2|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
NGC6715;GCl;18:55:03.27;-30:28:42.6;Sgr;5.10;;;;7.70;;;;;;0.0267;-2.730;-1.380;143;0.000477;;;;054;;;;MWSC 3023;;Likely associated with the Sagittarius Dwarf Spheroidal.;;Type:1|RA:1|Dec:1|Const:99|MajAx:5|V-Mag:3|Pax:2|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
NGC6720;PN;18:53:35.01;+33:01:42.9;Lyr;1.27;;;9.70;8.80;16.40;;;;;1.2707;1.494;2.486;-19;-0.000064;;15.03;15.29;057;;;HD 175353;IRAS 18517+3257,PN G063.1+13.9;Ring Nebula;;;Type:1|RA:1|Dec:1|Const:99|MajAx:8|B-Mag:3|V-Mag:3|J-Mag:2|Pax:2|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2|Cstar B-Mag:8|Cstar V-Mag:8
NGC6779;GCl;19:16:35.51;+30:11:04.2;Lyr;5.80;;;8.90;8.40;;;;;;0.0755;-2.020;1.650;-137;-0.000457;;;;056;;;;MWSC 3077;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:5|B-Mag:2|V-Mag:3|Pax:2|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
NGC6809;GCl;19:39:59.40;-30:57:43.5;Sgr;12.00;;;;6.49;;;;;;0.1736;-3.410;-9.270;174;0.000582;;;;055;;;;MWSC 3150;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:5|V-Mag:2|Pax:2|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
NGC6838;GCl;19:53:46.11;+18:46:42.2;Sge;6.90;;;7.91;6.10;;;;;;0.2287;-3.410;-2.610;-22;-0.000074;;;;071;6839;;;MWSC 3200;;Identification as NGC 6839 is very uncertain.;;Type:1|RA:1|Dec:1|Const:99|MajAx:5|B-Mag:2|V-Mag:2|Pax:2|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
NGC6853;PN;19:59:36.38;+22:43:15.7;Vul;6.70;;;7.60;7.40;11.79;10.61;;;;2.6575;10.496;3.682;-42;-0.000140;12.43;13.66;13.94;027;;;BD+22 3878;2MASX J19593637+2243157,PN G060.8-03.6;Dumbbell Nebula;;;Type:1|RA:1|Dec:1|Const:99|MajAx:8|B-Mag:3|V-Mag:3|J-Mag:2|H-Mag:2|Pax:2|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2|Cstar U-Mag:8|Cstar B-Mag:8|Cstar V-Mag:8
NGC6864;GCl;20:06:04.84;-21:55:20.0;Sgr;3.60;;;;8.26;6.93;6.43;6.28;;;0.0201;-0.580;-2.780;-189;-0.000631;;;;075;;;;2MASX J20060484-2155201,MWSC 3254;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:5|V-Mag:2|J-Mag:2|H-Mag:2|K-Mag:2|Pax:2|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
NGC6913;OCl;20:23:57.77;+38:30:27.6;Cyg;3.60;;;7.30;6.60;;;;;;0.5530;-3.409;-5.771;-17;-0.000056;;;;029;;;;MWSC 3329;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:5|B-Mag:2|V-Mag:2|Pax:2|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
NGC6981;GCl;20:53:27.91;-12:32:13.4;Aqr;4.50;;;9.95;8.96;;;;;;0.0150;-1.290;-3.320;-331;-0.001105;;;;072;;;;MWSC 3419;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:5|B-Mag:2|V-Mag:2|Pax:2|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
NGC6994;Other;20:58:55.97;-12:38:07.8;Aqr;;;;;8.90;;;;;;;;;;;;;;073;;;;;;Four Galactic stars.;;Type:1|RA:1|Dec:1|Const:99|V-Mag:3
NGC7078;GCl;21:29:58.38;+12:10:00.6;Peg;11.10;;;3.00;6.30;;;;;;0.0522;-0.630;-3.800;-107;-0.000356;;;;015;;;;IRAS 21274+1156,MWSC 3518,PN G065.0-27.3;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:5|B-Mag:2|V-Mag:3|Pax:2|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
NGC7089;GCl;21:33:27.01;-00:49:23.9;Aqr;8.40;;;;6.25;;;;;;0.0612;3.510;-2.160;-4;-0.000012;;;;002;;;;MWSC 3526;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:5|V-Mag:2|Pax:2|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
NGC7092;OCl;21:31:48.32;+48:26:17.4;Cyg;19.50;;;4.66;4.60;;;;;;3.3373;-7.357;-19.599;-5;-0.000018;;;;039;;;;MWSC 3521;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:5|B-Mag:2|V-Mag:2|Pax:2|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
NGC7099;GCl;21:40:22.02;-23:10:44.7;Cap;9.00;;;;7.10;;;;;;0.0676;-0.730;-7.240;-185;-0.000618;;;;030;;;;MWSC 3543;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:5|V-Mag:2|Pax:2|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
NGC7654;OCl;23:24:48.40;+61:35:35.4;Cas;9.90;;;;6.90;;;;;;0.5960;-1.938;-1.131;-40;-0.000133;;;;052;;;;MWSC 3725;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:5|V-Mag:3|Pax:2|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
